Country,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Georgia,m,2528,4804,1016,4.7,1.90,120.4,10.6
Germany,w,33624,41101,10536,3.9,1.22,49.1,4.2
Gibraltar,m,6,-33,19,1.7,nan,-98.7,-10.9
Greece,w,4838,6104,1563,3.9,1.26,58.6,4.8
Greenland,m,0,-16,34,0.5,nan,-27.5,-2.9
Guadeloupe,w,155,185,83,2.2,1.19,46.1,5.2
Guatemala,w,4813,10223,704,14.5,2.12,57.1,11.8
Hong Kong,m,148,1650,894,1.8,nan,22.0,3.4
Hungary,w,9667,13330,1725,7.7,1.38,138.0,10.1
Iceland,w,29,-8,63,0.1,nan,-2.5,-0.4
Iran,q,55223,115633,9668,12.0,2.09,137.7,29.8
Ireland,m,2197,584,539,1.1,0.27,11.8,1.9
Israel,w,3407,3188,407,7.8,0.94,36.8,6.8
Italy,w,74159,110931,7408,15.0,1.50,183.5,16.9
Jamaica,m,257,nan,nan,nan,nan,nan,nan
Japan,m,3460,-14722,9064,1.6,nan,-11.6,-1.0
Kazakhstan,m,2749,30270,2617,11.6,11.01,161.2,22.8
Kosovo,m,1325,1739,259,6.7,1.31,94.2,18.6
Kyrgyzstan,m,1356,7003,521,13.5,5.16,107.3,21.6
Latvia,w,635,1207,318,3.8,1.90,64.0,4.2
Lebanon,m,1455,2842,752,3.8,1.95,41.6,11.3
Liechtenstein,m,44,46,21,2.2,1.05,121.0,17.1
Lithuania,w,1843,6563,432,15.2,3.56,241.1,17.1
Luxembourg,w,498,241,100,2.4,0.48,38.6,5.3
Macao,m,0,-14,88,0.2,nan,-2.2,-0.6
Malaysia,m,471,-4728,1556,3.0,nan,-14.6,-2.6
Malta,w,215,294,91,3.2,1.37,66.6,7.6
Martinique,w,43,66,77,0.9,1.54,17.7,1.8
Mauritius,m,10,-333,188,1.8,nan,-26.1,-2.9
Mayotte,w,55,124,36,3.5,2.26,45.6,15.6
Mexico,w,124897,311265,5014,62.1,2.49,241.4,40.4
Moldova,m,2985,5393,729,7.4,1.81,133.7,15.2
Monaco,m,3,37,35,1.1,nan,94.9,7.5
Mongolia,m,0,-1310,364,3.6,nan,-40.0,-7.5
Montenegro,w,684,822,144,5.7,1.20,130.9,12.1
Netherlands,w,11406,15739,1396,11.3,1.38,91.9,10.0
New Zealand,w,25,-2119,304,7.0,nan,-43.9,-6.0
Nicaragua,m,137,nan,nan,nan,nan,nan,nan
North Macedonia,m,2503,5743,596,9.6,2.29,275.7,28.7
Norway,w,436,139,380,0.4,0.32,2.6,0.3
Oman,m,1499,1376,245,5.6,0.92,27.0,14.8
Panama,m,3975,2824,324,8.7,0.71,65.4,13.5
Paraguay,m,2242,1929,679,2.8,0.86,27.0,5.7
Peru,w,93192,87068,1531,56.9,0.93,264.1,68.6
Philippines,m,9244,-6886,5928,1.2,nan,-6.3,-1.1
Poland,w,28956,66817,4029,16.6,2.31,176.5,15.7
Portugal,w,6906,12014,1536,7.8,1.74,117.8,10.4
Qatar,m,245,363,55,6.6,1.48,12.6,16.2
Romania,w,18092,39073,2802,13.9,2.16,203.1,14.7
Russia,m,57555,359963,25528,14.1,6.25,245.3,20.4
Réunion,w,42,-22,91,0.2,nan,-2.4,-0.4
San Marino,m,59,82,23,3.5,1.39,241.8,31.7
Serbia,m,3211,16321,2634,6.2,5.08,236.8,16.1
Seychelles,m,0,-167,41,4.1,nan,-169.8,-19.9
Singapore,m,29,-245,310,0.8,nan,-4.2,-1.1
Slovakia,w,2138,6162,703,8.8,2.88,112.9,11.3
Slovenia,w,2981,3364,281,12.0,1.13,161.8,15.8
South Africa,w,28469,68594,nan,nan,2.41,115.7,13.8
South Korea,w,917,226,2282,0.1,0.25,0.4,0.1
Spain,w,53968,75372,4500,16.7,1.40,161.2,17.6
Sweden,w,9743,8968,775,11.6,0.92,88.8,9.8
Switzerland,w,7568,9539,796,12.0,1.26,110.2,13.9
Taiwan,m,7,-6340,4174,1.5,nan,-26.6,-3.5
Tajikistan,q,90,8997,1373,6.6,99.96,94.3,27.5
Thailand,m,63,903,8905,0.1,nan,1.3,0.2
Transnistria,m,473,619,179,3.4,1.31,133.0,9.1
Tunisia,w,4676,2610,965,2.7,0.56,22.1,3.6
Ukraine,m,18680,43119,9959,4.3,2.31,103.2,7.5
United Kingdom,w,73512,85540,6677,12.8,1.16,126.0,13.9
United States,w,349124,486279,12102,40.2,1.39,146.9,16.4
Uruguay,m,174,-2243,706,3.2,nan,-64.6,-6.4
Uzbekistan,m,614,17649,3255,5.4,28.74,52.7,11.2
