Country,Data until,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Latvia,"Jun 13, 2021",w,2451,2983,437,6.8,1.22,158.1,10.4
Lebanon,"Apr 30, 2021",m,7278,8948,968,9.2,1.23,131.1,35.6
Liechtenstein,"Apr 30, 2021",m,56,47,27,1.7,0.84,122.8,17.4
Lithuania,"Jun 20, 2021",w,4366,9548,601,15.9,2.19,350.7,24.9
Luxembourg,"Jun 06, 2021",w,818,194,136,1.4,0.24,31.0,4.3
Macao,"Apr 30, 2021",m,nan,-36,113,0.3,nan,-5.6,-1.6
Malaysia,"Mar 31, 2021",m,1272,-6556,1887,3.5,nan,-20.3,-3.6
Malta,"May 16, 2021",w,417,363,119,3.0,0.87,82.2,9.4
Martinique,"Jun 13, 2021",w,98,34,106,0.3,0.35,9.1,0.9
Mauritius,"Apr 30, 2021",m,16,-435,242,1.8,nan,-34.2,-3.8
Mayotte,"Jun 13, 2021",w,173,319,49,6.5,1.85,117.0,39.9
Mexico,"May 23, 2021",w,221256,466325,6649,70.1,2.11,361.7,60.6
Moldova,"Mar 31, 2021",m,4960,7996,885,9.0,1.61,198.2,22.5
Monaco,"May 31, 2021",m,32,117,47,2.5,3.65,297.8,23.6
Mongolia,"May 31, 2021",m,276,-1924,495,3.9,nan,-58.7,-11.0
Montenegro,"Mar 28, 2021",w,1245,1435,171,8.4,1.15,228.5,21.2
Netherlands,"Jun 20, 2021",w,17725,18978,1943,9.8,1.07,110.8,12.1
New Zealand,"Jun 06, 2021",w,26,-1927,413,4.7,nan,-40.0,-5.4
Nicaragua,"Aug 31, 2020",m,137,6954,268,26.0,50.76,105.0,27.3
North Macedonia,"Apr 30, 2021",m,4855,8648,767,11.3,1.78,415.1,43.2
Norway,"Jun 20, 2021",w,790,-1530,529,2.9,nan,-28.2,-3.7
Oman,"May 31, 2021",m,2345,2218,333,6.7,0.95,43.4,23.8
Panama,"Apr 30, 2021",m,6227,6537,417,15.7,1.05,151.5,31.3
Paraguay,"May 31, 2021",m,9083,9564,924,10.3,1.05,134.1,28.1
Peru,"Jun 27, 2021",w,191447,193794,2021,95.9,1.01,587.8,152.7
Philippines,"Dec 31, 2020",m,9244,-7661,5928,1.3,nan,-7.0,-1.2
Poland,"Jun 13, 2021",w,74573,117065,5543,21.1,1.57,309.3,27.6
Portugal,"Jun 06, 2021",w,17032,18856,2088,9.0,1.11,184.9,16.3
Qatar,"Apr 30, 2021",m,458,650,70,9.2,1.42,22.6,28.9
Romania,"Apr 25, 2021",w,30872,53911,3529,15.3,1.75,280.2,20.3
Russia,"Apr 30, 2021",m,110520,498642,32855,15.2,4.51,339.8,28.2
Réunion,"Jun 13, 2021",w,212,188,126,1.5,0.89,21.0,3.5
San Marino,"May 31, 2021",m,90,108,32,3.4,1.20,318.7,41.8
Serbia,"May 31, 2021",m,6865,27668,3582,7.7,4.03,401.4,27.3
Seychelles,"Dec 31, 2020",m,0,-167,41,4.1,nan,-169.8,-19.9
Singapore,"Mar 31, 2021",m,30,-161,376,0.4,nan,-2.8,-0.7
Slovakia,"May 16, 2021",w,12224,16673,920,18.1,1.36,305.4,30.5
Slovenia,"May 23, 2021",w,4685,3714,373,10.0,0.79,178.7,17.4
South Africa,"Jun 27, 2021",w,59778,159659,nan,nan,2.67,269.2,32.2
South Korea,"May 02, 2021",w,1833,-3293,2912,1.1,nan,-6.4,-1.1
Spain,"Jun 20, 2021",w,80769,87077,6265,13.9,1.08,186.2,20.3
Sweden,"Jun 06, 2021",w,14584,8902,1053,8.5,0.61,88.1,9.7
Switzerland,"Jun 06, 2021",w,10257,8627,1082,8.0,0.84,99.7,12.6
Taiwan,"May 31, 2021",m,137,-6571,5678,1.2,nan,-27.6,-3.7
Tajikistan,"Dec 31, 2020",q,90,8997,1373,6.6,99.96,94.3,27.5
Thailand,"Jun 30, 2021",m,2080,14369,12754,1.1,nan,20.6,2.9
Transnistria,"May 31, 2021",m,1195,1569,245,6.4,1.31,337.2,23.1
Tunisia,"Feb 14, 2021",w,7508,4582,1057,4.3,0.61,38.8,6.3
Ukraine,"Apr 30, 2021",m,44436,81478,12817,6.4,1.83,195.1,14.1
United Kingdom,"Jun 13, 2021",w,127896,109104,9185,11.9,0.85,160.7,17.7
United States,"Jun 06, 2021",w,591276,638716,16439,38.9,1.08,193.0,21.5
Uruguay,"Dec 31, 2020",m,174,-2243,706,3.2,nan,-64.6,-6.4
Uzbekistan,"Mar 31, 2021",m,630,19852,3948,5.0,31.51,59.3,12.6
