region,06.02.2021,05.02.2021,04.02.2021,03.02.2021,02.02.2021,01.02.2021,31.01.2021,30.01.2021,29.01.2021,28.01.2021,27.01.2021,26.01.2021,25.01.2021,24.01.2021,23.01.2021,22.01.2021,21.01.2021,20.01.2021,19.01.2021,18.01.2021,17.01.2021,16.01.2021,15.01.2021,14.01.2021,13.01.2021,12.01.2021,11.01.2021,10.01.2021,09.01.2021,08.01.2021,07.01.2021,06.01.2021,05.01.2021,04.01.2021,03.01.2021,02.01.2021,01.01.2021,31.12.2020,30.12.2020,29.12.2020,28.12.2020,27.12.2020,26.12.2020,25.12.2020,24.12.2020,23.12.2020,22.12.2020,21.12.2020,20.12.2020,19.12.2020,18.12.2020,17.12.2020,16.12.2020,15.12.2020,14.12.2020,13.12.2020,12.12.2020,11.12.2020,10.12.2020,09.12.2020,08.12.2020,07.12.2020,06.12.2020,05.12.2020,04.12.2020,03.12.2020,02.12.2020,01.12.2020,30.11.2020,29.11.2020,28.11.2020,27.11.2020,26.11.2020,25.11.2020,24.11.2020,23.11.2020,22.11.2020,21.11.2020,20.11.2020,19.11.2020,18.11.2020,17.11.2020,16.11.2020,15.11.2020,14.11.2020,13.11.2020,12.11.2020,11.11.2020,10.11.2020,09.11.2020,08.11.2020,07.11.2020,06.11.2020,05.11.2020,04.11.2020,03.11.2020,02.11.2020,01.11.2020,31.10.2020,30.10.2020,29.10.2020,28.10.2020,27.10.2020,26.10.2020,25.10.2020,24.10.2020,23.10.2020,22.10.2020,21.10.2020,20.10.2020,19.10.2020,18.10.2020,17.10.2020,16.10.2020,15.10.2020,14.10.2020,13.10.2020,12.10.2020,11.10.2020,10.10.2020,09.10.2020,08.10.2020,07.10.2020,06.10.2020,05.10.2020,04.10.2020,03.10.2020,02.10.2020,01.10.2020,30.09.2020,29.09.2020,28.09.2020,27.09.2020,26.09.2020,25.09.2020,24.09.2020,23.09.2020,22.09.2020,21.09.2020,20.09.2020,19.09.2020,18.09.2020,17.09.2020,16.09.2020,15.09.2020,14.09.2020,13.09.2020,12.09.2020,11.09.2020,10.09.2020,09.09.2020,08.09.2020,07.09.2020,06.09.2020,05.09.2020,04.09.2020,03.09.2020,02.09.2020,01.09.2020,31.08.2020,30.08.2020,29.08.2020,28.08.2020,27.08.2020,26.08.2020,25.08.2020,24.08.2020,23.08.2020,22.08.2020,21.08.2020,20.08.2020,19.08.2020,18.08.2020,17.08.2020,16.08.2020,15.08.2020,14.08.2020,13.08.2020,12.08.2020,11.08.2020,10.08.2020,09.08.2020,08.08.2020,07.08.2020,06.08.2020,05.08.2020,04.08.2020,03.08.2020,02.08.2020,01.08.2020,31.07.2020,30.07.2020,29.07.2020,28.07.2020,27.07.2020,26.07.2020,25.07.2020,24.07.2020,23.07.2020,22.07.2020,21.07.2020,20.07.2020,19.07.2020,18.07.2020,17.07.2020,16.07.2020,15.07.2020,14.07.2020,13.07.2020,12.07.2020,11.07.2020,10.07.2020,09.07.2020,08.07.2020,07.07.2020,06.07.2020,05.07.2020,04.07.2020,03.07.2020,02.07.2020,01.07.2020,30.06.2020,29.06.2020,28.06.2020,27.06.2020,26.06.2020,25.06.2020,24.06.2020,23.06.2020,22.06.2020,21.06.2020,20.06.2020,19.06.2020,18.06.2020,17.06.2020,16.06.2020,15.06.2020,14.06.2020,13.06.2020,12.06.2020,11.06.2020,10.06.2020,09.06.2020,08.06.2020,07.06.2020,06.06.2020,05.06.2020,04.06.2020,03.06.2020,02.06.2020,01.06.2020,31.05.2020,30.05.2020,29.05.2020,28.05.2020,27.05.2020,26.05.2020,25.05.2020,24.05.2020,23.05.2020,22.05.2020,21.05.2020,20.05.2020,19.05.2020,18.05.2020,17.05.2020,16.05.2020,15.05.2020,14.05.2020,13.05.2020,12.05.2020,11.05.2020,10.05.2020,09.05.2020,08.05.2020,07.05.2020,06.05.2020,05.05.2020,04.05.2020,03.05.2020,02.05.2020,01.05.2020,30.04.2020,29.04.2020,28.04.2020,27.04.2020,26.04.2020,25.04.2020,24.04.2020,23.04.2020,22.04.2020,21.04.2020,20.04.2020,19.04.2020,18.04.2020,17.04.2020,16.04.2020,15.04.2020,14.04.2020,13.04.2020,12.04.2020,11.04.2020,10.04.2020,09.04.2020,08.04.2020,07.04.2020,06.04.2020,05.04.2020,04.04.2020,03.04.2020,02.04.2020,01.04.2020,31.03.2020,30.03.2020,29.03.2020,28.03.2020,27.03.2020,26.03.2020
Еврейская автономная область,4220,4212,4205,4197,4188,4178,4169,4161,4152,4139,4122,4104,4087,4071,4058,4044,4029,4014,4004,3992,3980,3969,3957,3944,3934,3922,3908,3895,3883,3869,3855,3842,3827,3810,3795,3779,3765,3750,3734,3715,3697,3680,3664,3647,3623,3595,3568,3542,3514,3485,3457,3428,3398,3371,3346,3323,3300,3276,3247,3219,3190,3162,3133,3102,3073,3043,3012,2983,2953,2924,2897,2869,2840,2812,2787,2765,2734,2704,2675,2647,2615,2586,2556,2534,2512,2489,2455,2425,2396,2360,2318,2277,2237,2195,2146,2093,2037,1996,1956,1916,1874,1835,1794,1754,1713,1672,1616,1553,1496,1466,1437,1408,1378,1349,1319,1290,1260,1231,1203,1176,1146,1118,1089,1062,1034,1008,983,965,945,929,913,898,883,868,852,837,823,808,793,782,772,760,751,742,733,725,718,712,705,700,693,685,677,670,663,655,646,639,632,626,620,615,609,605,602,598,594,592,590,588,587,585,584,582,579,576,573,570,568,564,560,557,554,550,547,543,541,539,538,537,534,532,529,525,523,520,517,514,512,511,509,507,506,503,499,495,491,487,482,476,469,462,457,452,446,441,438,435,433,430,428,426,424,421,417,413,408,404,400,399,397,394,390,386,382,378,374,374,371,367,363,356,350,347,343,336,329,323,317,314,314,309,299,288,281,274,272,267,266,263,262,261,246,236,230,230,225,222,218,212,188,185,179,175,170,159,153,148,145,143,134,131,124,118,113,101,86,86,80,66,52,43,22,20,19,16,10,9,9,9,8,8,8,6,6,3,3,3,3,3,0,0,0,0,0,0,0,0
Забайкальский край,35447,35245,35046,34845,34642,34432,34225,34015,33800,33588,33383,33172,32957,32740,32519,32299,32080,31859,31641,31421,31197,30970,30745,30522,30295,30067,29837,29608,29376,29142,28907,28671,28436,28199,27961,27720,27480,27239,26996,26751,26505,26258,26008,25759,25511,25261,25012,24759,24504,24247,23987,23725,23464,23204,22941,22677,22414,22149,21885,21621,21356,21090,20823,20558,20296,20032,19767,19504,19238,18969,18699,18434,18171,17903,17637,17368,17098,16829,16558,16291,16021,15752,15486,15222,14961,14702,14444,14189,13940,13693,13451,13210,12967,12733,12496,12261,12028,11791,11556,11327,11095,10874,10650,10422,10188,9952,9727,9508,9307,9084,8886,8689,8491,8297,8109,7932,7759,7583,7414,7255,7115,6986,6881,6783,6692,6603,6514,6427,6342,6262,6181,6099,6029,5951,5874,5799,5727,5657,5596,5538,5481,5426,5374,5322,5261,5195,5129,5066,5015,4967,4922,4879,4839,4804,4770,4735,4699,4665,4632,4600,4570,4541,4517,4493,4470,4446,4427,4408,4388,4370,4354,4338,4323,4313,4301,4287,4274,4260,4242,4224,4210,4194,4178,4165,4153,4142,4131,4118,4106,4094,4081,4070,4059,4050,4038,4026,4015,4002,3988,3971,3952,3927,3897,3867,3835,3802,3767,3728,3683,3638,3595,3555,3516,3480,3441,3399,3355,3309,3260,3212,3161,3100,3038,2975,2916,2854,2793,2738,2667,2596,2527,2458,2391,2325,2263,2174,2081,1996,1907,1841,1765,1704,1634,1551,1471,1398,1321,1257,1218,1165,1136,1097,1052,1019,991,938,879,817,758,727,684,646,615,595,550,510,486,454,432,386,364,344,305,272,262,254,238,215,198,167,155,134,114,109,103,96,90,83,73,64,61,50,43,34,33,30,28,14,14,14,8,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Ивановская область,27761,27597,27434,27269,27105,26938,26769,26598,26429,26259,26085,25909,25736,25561,25384,25208,25033,24859,24683,24509,24334,24156,23980,23803,23628,23452,23274,23093,22914,22734,22552,22372,22191,22007,21821,21633,21444,21257,21068,20878,20690,20504,20315,20128,19943,19762,19583,19401,19223,19043,18865,18688,18509,18333,18159,17984,17811,17641,17469,17300,17131,16964,16796,16629,16466,16306,16145,15983,15823,15664,15507,15348,15190,15034,14877,14722,14568,14412,14259,14104,13951,13797,13646,13497,13349,13203,13058,12911,12768,12629,12491,12356,12224,12097,11969,11843,11720,11601,11481,11363,11246,11133,11019,10908,10798,10690,10581,10474,10368,10264,10161,10064,9970,9879,9790,9702,9616,9531,9448,9370,9295,9222,9151,9081,9014,8946,8881,8822,8764,8708,8654,8603,8550,8500,8452,8407,8360,8315,8271,8228,8184,8138,8096,8052,8009,7968,7925,7883,7842,7800,7757,7715,7675,7634,7591,7549,7509,7471,7433,7397,7360,7321,7285,7248,7210,7175,7143,7110,7075,7042,7009,6974,6941,6909,6876,6845,6813,6785,6756,6700,6676,6650,6623,6597,6572,6546,6522,6500,6479,6452,6426,6401,6377,6352,6330,6303,6265,6222,6172,6116,6059,5998,5938,5876,5813,5752,5691,5629,5565,5501,5436,5371,5304,5232,5168,5102,5034,4965,4898,4829,4761,4691,4621,4550,4479,4405,4330,4253,4176,4098,4017,3934,3853,3768,3685,3599,3508,3417,3323,3228,3130,3031,2930,2822,2705,2577,2447,2322,2205,2140,2057,1977,1900,1813,1745,1686,1639,1602,1566,1505,1463,1415,1360,1313,1291,1245,1192,1124,1023,921,911,843,758,679,653,595,537,517,485,456,434,403,359,327,296,282,274,263,247,239,225,213,203,183,164,149,136,121,96,86,80,62,60,60,47,47,33,23,23,13,11,11,9,9,7,7,2,1
Иркутская область,50237,49976,49712,49449,49188,48931,48670,48406,48140,47875,47612,47353,47091,46831,46570,46308,46043,45780,45520,45261,45004,44745,44484,44220,43954,43694,43431,43169,42908,42645,42377,42112,41850,41590,41326,41056,40785,40519,40259,39996,39735,39470,39202,38932,38657,38385,38116,37839,37568,37293,37013,36734,36464,36202,35933,35658,35379,35096,34815,34538,34275,34014,33745,33466,33191,32911,32640,32361,32088,31812,31538,31261,30986,30713,30443,30175,29909,29652,29383,29116,28851,28591,28332,28078,27814,27551,27290,27032,26772,26520,26264,26014,25761,25516,25273,25028,24789,24549,24311,24081,23849,23621,23398,23183,22972,22764,22563,22368,22185,22005,21828,21647,21468,21281,21101,20918,20739,20568,20406,20247,20092,19946,19810,19686,19570,19462,19363,19266,19168,19076,18989,18906,18821,18745,18663,18586,18506,18433,18358,18289,18211,18139,18058,17981,17905,17832,17760,17691,17615,17542,17466,17395,17328,17253,17184,17103,17033,16958,16886,16810,16732,16660,16583,16510,16434,16360,16273,16184,16086,15981,15880,15775,15664,15556,15442,15324,15211,15101,14986,14867,14743,14623,14500,14381,14251,14123,13988,13851,13711,13568,13422,13282,13134,12975,12813,12648,12487,12323,12152,11976,11806,11625,11447,11262,11074,10881,10685,10495,10297,10094,9885,9679,9468,9225,8985,8740,8501,8260,8025,7776,7533,7285,7043,6807,6575,6338,6128,5919,5726,5528,5334,5143,4950,4786,4653,4474,4155,4028,3819,3656,3505,3265,3083,2877,2792,2613,2542,2447,2309,2189,1979,1750,1660,1498,1438,1376,1306,1194,1078,958,863,780,746,698,601,526,499,474,379,353,333,313,289,271,255,237,231,200,177,150,130,123,105,101,95,87,87,85,80,75,75,68,65,55,54,47,45,39,39,35,28,23,21,17,14,14,11,8,8,8,7,3,3,2,1,0,0,0
Кабардино-Балкарская Республика,19290,19205,19120,19034,18948,18862,18775,18688,18600,18512,18423,18334,18245,18155,18065,17973,17880,17785,17689,17592,17495,17398,17300,17202,17105,17008,16912,16815,16718,16620,16522,16424,16325,16226,16126,16026,15926,15825,15723,15621,15518,15414,15309,15206,15106,15004,14903,14801,14701,14601,14500,14400,14299,14199,14098,13998,13898,13797,13695,13594,13493,13392,13294,13196,13098,13001,12904,12808,12713,12620,12527,12435,12343,12253,12165,12077,11987,11898,11808,11718,11629,11539,11450,11362,11275,11190,11106,11021,10937,10854,10771,10689,10606,10522,10438,10353,10268,10182,10096,10009,9921,9831,9742,9652,9564,9476,9386,9293,9198,9098,8990,8906,8822,8739,8656,8574,8494,8414,8336,8261,8188,8118,8054,7994,7934,7877,7820,7765,7712,7662,7612,7567,7525,7483,7441,7400,7360,7319,7276,7234,7191,7149,7106,7065,7023,6981,6941,6901,6864,6827,6792,6757,6724,6691,6659,6629,6599,6570,6542,6514,6488,6463,6439,6417,6397,6377,6358,6340,6323,6305,6289,6273,6256,6239,6223,6207,6190,6174,6158,6143,6127,6112,6098,6084,6069,6055,6039,6024,6008,5993,5977,5962,5946,5931,5916,5900,5885,5870,5855,5839,5823,5807,5791,5771,5751,5726,5686,5645,5604,5562,5520,5477,5433,5388,5343,5297,5251,5204,5157,5109,5061,5010,4958,4905,4851,4791,4726,4656,4585,4511,4436,4361,4285,4209,4132,4055,3975,3895,3815,3734,3655,3576,3499,3424,3348,3272,3199,3126,3052,2978,2903,2827,2750,2673,2592,2509,2422,2334,2251,2171,2091,2020,1952,1886,1824,1759,1690,1619,1548,1475,1401,1325,1245,1168,1089,1008,925,820,739,634,544,499,456,412,367,329,300,272,243,218,193,170,152,136,114,92,69,50,50,50,35,30,27,23,23,13,8,8,8,8,8,8,6,6,4,4,4,4
Калининградская область,25166,24989,24810,24629,24449,24262,24078,23890,23698,23503,23305,23115,22923,22732,22534,22333,22127,21916,21709,21506,21298,21080,20868,20659,20451,20250,20050,19852,19658,19468,19271,19077,18862,18651,18437,18221,18013,17792,17567,17346,17129,16914,16703,16493,16289,16084,15881,15682,15482,15277,15078,14880,14679,14481,14281,14078,13863,13659,13441,13238,13021,12817,12619,12424,12230,12037,11846,11654,11466,11281,11094,10902,10712,10523,10335,10150,9960,9769,9588,9415,9254,9099,8940,8789,8634,8483,8338,8195,8060,7927,7797,7669,7545,7420,7299,7177,7057,6946,6841,6740,6634,6532,6442,6353,6266,6176,6090,6005,5911,5832,5732,5652,5574,5495,5422,5344,5264,5185,5110,5038,4970,4903,4840,4776,4711,4635,4570,4506,4446,4387,4333,4281,4231,4194,4156,4118,4079,4041,4007,3975,3941,3906,3875,3842,3810,3775,3744,3712,3685,3655,3626,3596,3568,3543,3523,3502,3483,3463,3446,3430,3415,3393,3369,3348,3330,3304,3283,3260,3230,3212,3194,3179,3170,3147,3121,3098,3078,3065,3054,3035,3018,3000,2987,2973,2958,2942,2933,2929,2917,2898,2875,2854,2835,2821,2805,2790,2775,2759,2746,2736,2729,2718,2705,2691,2676,2662,2648,2636,2627,2615,2605,2591,2578,2564,2553,2539,2521,2505,2487,2472,2455,2446,2436,2426,2411,2392,2373,2356,2348,2321,2292,2262,2227,2195,2161,2124,2112,2072,2027,1984,1946,1904,1858,1813,1776,1736,1700,1665,1642,1607,1553,1508,1460,1409,1376,1338,1294,1244,1201,1158,1117,1076,1042,1010,978,952,916,881,848,812,772,753,713,671,637,599,583,566,524,479,438,395,358,326,303,264,236,210,189,171,163,144,138,126,115,104,92,84,79,74,70,65,62,52,49,48,19,19,19,19,19,12,12,12,11,11,8,8
Калужская область,26893,26740,26590,26439,26287,26134,25985,25835,25680,25524,25369,25218,25064,24911,24753,24597,24442,24283,24126,23966,23803,23638,23479,23326,23168,23012,22850,22690,22531,22376,22218,22057,21889,21722,21556,21392,21222,21049,20880,20710,20543,20375,20201,20026,19857,19690,19517,19346,19176,19010,18838,18668,18501,18333,18169,18001,17839,17674,17513,17356,17197,17044,16888,16738,16586,16432,16281,16133,15988,15850,15713,15571,15431,15287,15142,14999,14858,14718,14576,14437,14304,14168,14033,13895,13755,13618,13482,13348,13209,13073,12935,12800,12672,12543,12416,12291,12171,12052,11941,11832,11731,11624,11521,11421,11322,11220,11117,11019,10924,10817,10735,10634,10539,10447,10359,10269,10177,10083,9999,9914,9834,9752,9674,9594,9519,9443,9376,9311,9241,9180,9128,9071,9009,8958,8910,8863,8823,8783,8759,8714,8672,8622,8574,8534,8502,8472,8433,8396,8361,8329,8300,8273,8251,8222,8195,8166,8134,8108,8079,8055,8023,7993,7964,7936,7910,7882,7853,7823,7792,7759,7728,7702,7679,7654,7625,7598,7571,7543,7516,7491,7469,7443,7416,7390,7363,7338,7311,7286,7260,7232,7204,7179,7155,7133,7111,7090,7067,7044,7020,6987,6957,6923,6889,6854,6818,6781,6742,6697,6656,6608,6559,6509,6458,6413,6368,6321,6272,6222,6170,6117,6066,6018,5973,5925,5880,5834,5788,5744,5694,5640,5580,5522,5462,5399,5321,5246,5169,5091,5011,4923,4829,4761,4691,4600,4511,4431,4357,4270,4179,4092,4009,3923,3834,3744,3653,3560,3459,3354,3246,3123,2998,2871,2750,2632,2518,2409,2312,2213,2115,2018,1924,1828,1730,1641,1564,1486,1407,1309,1217,1136,1065,1006,885,772,706,639,583,513,444,383,330,258,228,188,151,122,102,74,49,34,24,24,18,11,11,11,7,6,6,5,5,3,3,3,2,2,2,2
Камчатский край,12605,12553,12501,12448,12395,12341,12285,12226,12166,12106,12044,11979,11915,11850,11783,11715,11647,11577,11505,11432,11360,11286,11214,11143,11070,10998,10926,10852,10776,10701,10625,10551,10476,10401,10327,10252,10176,10102,10027,9951,9873,9796,9718,9641,9563,9483,9406,9328,9248,9168,9091,9013,8933,8850,8768,8688,8606,8523,8443,8360,8278,8198,8117,8037,7955,7876,7798,7721,7646,7570,7492,7416,7343,7268,7200,7135,7075,7015,6955,6894,6834,6774,6715,6657,6597,6538,6478,6420,6360,6301,6241,6182,6122,6062,6004,5947,5890,5834,5778,5723,5672,5622,5571,5521,5470,5419,5369,5318,5267,5216,5171,5121,5071,5024,4979,4937,4896,4856,4819,4786,4751,4716,4681,4653,4625,4598,4572,4545,4519,4494,4469,4443,4418,4394,4369,4343,4316,4291,4266,4244,4224,4198,4173,4145,4122,4099,4078,4053,4026,3996,3981,3967,3955,3942,3929,3915,3901,3877,3864,3852,3841,3828,3816,3803,3791,3779,3768,3759,3748,3737,3667,3654,3641,3627,3615,3601,3586,3569,3553,3538,3526,3516,3501,3483,3456,3442,3427,3414,3401,3378,3362,3336,3314,3289,3270,3240,3201,3160,3122,3086,3051,3017,2982,2945,2910,2876,2840,2798,2757,2713,2676,2640,2602,2560,2514,2469,2422,2380,2334,2293,2245,2190,2145,2093,2052,2008,1969,1927,1834,1793,1755,1714,1662,1617,1575,1536,1496,1454,1409,1360,1306,1255,1214,1168,1125,1085,1033,984,949,916,881,849,805,759,725,700,678,658,627,595,572,554,536,515,495,477,461,443,429,418,398,384,376,363,353,350,348,347,339,311,286,281,265,241,203,195,110,87,84,78,63,48,41,34,29,29,21,10,10,10,10,10,5,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Карачаево-Черкесская Республика,17954,17893,17830,17768,17702,17637,17570,17504,17436,17366,17297,17225,17151,17078,17003,16926,16850,16771,16691,16613,16536,16457,16379,16299,16220,16140,16058,15977,15894,15812,15728,15645,15560,15476,15390,15302,15215,15126,15038,14948,14856,14765,14671,14578,14486,14396,14305,14212,14120,14026,13931,13838,13746,13652,13559,13464,13370,13274,13176,13081,12984,12885,12789,12691,12592,12497,12405,12312,12222,12130,12041,11954,11866,11782,11694,11608,11521,11436,11350,11265,11178,11090,11001,10911,10824,10735,10645,10557,10470,10381,10291,10203,10117,10033,9950,9865,9781,9695,9610,9523,9437,9349,9259,9173,9084,8997,8909,8823,8740,8658,8574,8489,8406,8325,8246,8166,8084,8003,7921,7838,7757,7677,7596,7514,7434,7353,7274,7194,7115,7038,6964,6891,6819,6750,6681,6613,6546,6482,6416,6351,6285,6221,6158,6093,6027,5962,5899,5840,5777,5715,5651,5586,5523,5458,5399,5335,5272,5216,5163,5115,5066,5021,4976,4937,4898,4860,4830,4798,4763,4732,4709,4688,4670,4652,4635,4618,4603,4589,4575,4562,4551,4539,4527,4517,4507,4495,4485,4476,4465,4453,4442,4433,4423,4415,4397,4378,4354,4333,4310,4283,4259,4234,4212,4185,4162,4134,4109,4084,4065,4044,4017,3988,3957,3919,3882,3850,3817,3774,3730,3668,3599,3520,3448,3379,3305,3221,3149,3067,2983,2902,2815,2730,2639,2545,2446,2349,2255,2156,2058,1969,1889,1807,1729,1654,1580,1505,1430,1354,1276,1204,1137,1067,1005,951,895,853,814,783,757,732,712,701,689,677,666,651,632,614,588,561,549,539,527,509,478,463,457,453,441,430,412,398,352,330,314,301,282,240,194,169,145,106,87,67,50,49,30,23,16,13,11,9,9,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Кемеровская область,29932,29836,29737,29640,29542,29443,29344,29246,29147,29047,28940,28830,28716,28603,28488,28374,28263,28154,28044,27932,27817,27704,27590,27478,27367,27257,27146,27032,26916,26798,26678,26554,26427,26296,26160,26024,25887,25749,25607,25468,25327,25183,25038,24889,24743,24595,24448,24300,24150,23997,23842,23685,23525,23364,23200,23034,22866,22693,22522,22350,22176,21997,21820,21645,21468,21296,21123,20950,20775,20601,20425,20248,20073,19901,19730,19553,19374,19194,19019,18841,18663,18481,18296,18113,17932,17749,17568,17385,17195,17002,16805,16610,16412,16216,16018,15823,15625,15428,15239,15057,14877,14703,14526,14351,14178,14004,13827,13652,13476,13294,13117,12938,12761,12585,12410,12233,12057,11878,11700,11530,11361,11193,11025,10856,10681,10508,10339,10171,10004,9842,9686,9533,9383,9242,9103,8965,8829,8704,8580,8450,8323,8188,8060,7935,7809,7694,7589,7492,7399,7304,7217,7133,7048,6965,6880,6791,6701,6615,6527,6437,6345,6249,6156,6060,5962,5867,5769,5677,5582,5491,5398,5306,5215,5119,5025,4926,4830,4736,4638,4544,4435,4341,4244,4158,4062,3965,3871,3781,3702,3627,3555,3481,3408,3329,3260,3193,3118,3050,2983,2919,2857,2796,2740,2695,2650,2602,2553,2507,2457,2406,2354,2280,2203,2134,2085,2018,1944,1873,1806,1744,1703,1662,1622,1579,1532,1488,1454,1424,1396,1352,1277,1218,1157,1099,1079,1062,1042,1019,997,929,868,834,786,752,721,685,666,638,616,589,545,520,495,482,462,444,431,418,406,391,377,365,342,333,328,321,307,296,282,269,260,251,233,214,204,198,180,166,166,153,142,128,126,114,111,107,103,82,76,67,56,47,41,35,26,22,18,15,14,14,12,12,11,7,7,5,5,3,3,3,3,3,3,3,3,3,3,3
Кировская область,33399,33237,33071,32900,32726,32554,32384,32214,32041,31867,31682,31483,31280,31075,30866,30656,30444,30230,30011,29787,29561,29329,29094,28862,28634,28405,28177,27951,27720,27491,27258,27029,26804,26576,26342,26105,25864,25626,25387,25148,24902,24654,24406,24157,23907,23662,23419,23175,22935,22701,22469,22241,22011,21773,21533,21293,21051,20805,20558,20310,20054,19797,19540,19285,19035,18788,18543,18300,18059,17817,17578,17339,17101,16864,16628,16395,16167,15942,15719,15502,15288,15081,14876,14674,14475,14276,14082,13888,13697,13507,13320,13135,12951,12769,12591,12415,12243,12078,11920,11766,11613,11463,11315,11169,11026,10883,10743,10604,10467,10340,10212,10105,10000,9896,9793,9693,9594,9493,9393,9303,9222,9142,9064,8984,8903,8823,8745,8668,8593,8521,8446,8373,8302,8233,8171,8111,8040,7974,7907,7839,7769,7701,7634,7572,7512,7449,7383,7321,7255,7190,7125,7065,7002,6940,6877,6812,6748,6683,6619,6555,6490,6426,6361,6298,6235,6173,6110,6047,5986,5926,5862,5802,5745,5694,5631,5579,5525,5463,5408,5352,5311,5261,5213,5153,5095,5046,5013,4952,4888,4839,4789,4723,4665,4617,4570,4511,4462,4404,4349,4302,4256,4198,4142,4091,4046,3990,3933,3877,3833,3779,3727,3669,3614,3557,3512,3459,3404,3354,3321,3276,3246,3214,3179,3148,3117,3076,3026,2986,2952,2916,2869,2820,2777,2734,2693,2648,2600,2547,2508,2479,2421,2360,2300,2260,2182,2121,2042,1967,1904,1828,1751,1683,1629,1551,1495,1438,1370,1323,1259,1191,1161,1091,1064,1020,1008,1001,967,932,911,896,876,835,807,761,718,686,661,644,618,585,543,511,493,466,423,388,362,316,276,240,216,188,169,150,111,91,73,64,51,51,36,35,29,28,20,20,18,18,18,15,12,12,12,12,9,8,8,7
Костромская область,17330,17273,17225,17185,17130,17077,17019,16969,16923,16885,16828,16790,16765,16696,16608,16539,16448,16402,16346,16327,16265,16180,16093,16015,15973,15898,15830,15778,15712,15636,15533,15449,15365,15291,15276,15201,15102,15001,14901,14810,14698,14581,14468,14357,14242,14126,14014,13900,13782,13664,13545,13426,13310,13198,13085,12970,12853,12739,12627,12511,12424,12333,12207,12078,11945,11809,11674,11536,11397,11262,11125,10985,10847,10708,10571,10432,10296,10158,10019,9882,9743,9603,9464,9326,9187,9050,8912,8777,8639,8503,8366,8231,8101,7970,7840,7713,7588,7465,7341,7218,7103,6991,6885,6781,6679,6579,6476,6375,6278,6179,6082,5983,5892,5806,5725,5648,5572,5501,5432,5361,5296,5226,5160,5096,5031,4966,4902,4842,4788,4742,4703,4662,4609,4553,4499,4454,4417,4379,4348,4311,4277,4235,4203,4156,4115,4099,4046,3999,3952,3911,3863,3817,3786,3742,3696,3659,3625,3601,3578,3546,3510,3467,3429,3393,3355,3325,3261,3209,3157,3093,3043,2993,2975,2947,2906,2852,2792,2745,2695,2657,2625,2564,2511,2458,2423,2390,2345,2309,2261,2234,2206,2175,2166,2154,2137,2119,2074,2040,2028,2016,2005,1995,1963,1946,1922,1902,1886,1863,1855,1844,1825,1814,1778,1752,1730,1696,1676,1654,1632,1612,1591,1583,1565,1531,1494,1470,1442,1411,1386,1360,1331,1298,1262,1246,1214,1175,1161,1136,1109,1066,1028,977,953,926,901,888,862,842,825,804,772,758,719,691,656,617,601,580,567,560,540,527,516,500,487,477,460,452,433,402,384,372,357,343,333,311,293,278,266,253,241,227,211,193,180,158,148,137,120,104,88,81,70,66,53,47,38,27,18,18,18,15,15,12,9,9,9,8,8,3,3,3,3,1,1,1,0,0
Краснодарский край,34779,34596,34411,34229,34044,33861,33681,33499,33314,33125,32932,32738,32543,32345,32153,31959,31760,31562,31364,31167,30967,30769,30572,30378,30183,29986,29790,29597,29407,29219,29035,28850,28663,28479,28292,28108,27922,27729,27535,27343,27153,26972,26785,26595,26409,26224,26036,25849,25669,25482,25294,25107,24922,24736,24555,24375,24191,24003,23816,23636,23459,23284,23105,22933,22763,22589,22419,22252,22089,21923,21751,21573,21399,21229,21062,20899,20726,20550,20376,20204,20035,19869,19708,19548,19390,19234,19080,18927,18777,18631,18487,18344,18204,18065,17928,17793,17663,17531,17393,17258,17119,16987,16854,16734,16603,16473,16349,16237,16055,15934,15909,15807,15701,15599,15495,15389,15285,15187,15085,14980,14877,14775,14676,14578,14482,14387,14290,14184,14083,13987,13888,13790,13694,13596,13501,13408,13313,13219,13123,13031,12937,12843,12751,12658,12563,12469,12377,12285,12195,12107,12020,11930,11838,11747,11654,11564,11472,11382,11294,11208,11121,11031,10941,10857,10771,10681,10595,10507,10422,10334,10245,10161,10075,9991,9903,9817,9730,9642,9552,9465,9375,9278,9173,9061,8946,8821,8704,8585,8472,8365,8266,8170,8072,7975,7880,7784,7690,7598,7508,7423,7340,7262,7190,7115,7045,6979,6912,6847,6785,6721,6654,6589,6523,6460,6399,6340,6280,6218,6159,6102,6043,5982,5922,5860,5801,5743,5683,5624,5561,5501,5440,5376,5316,5252,5183,5112,5042,4970,4893,4815,4735,4655,4574,4485,4399,4312,4231,4148,4068,3987,3908,3824,3744,3662,3582,3506,3426,3337,3247,3155,3066,2974,2883,2792,2699,2605,2510,2418,2319,2222,2126,2027,1929,1830,1732,1633,1534,1437,1340,1244,1162,1083,1017,951,888,837,780,707,623,539,481,461,417,383,335,290,260,239,215,210,169,138,125,105,85,61,50,39,39,39,22,22,17,17,17,17,9,9
